DOB,height_in,home_town,player_country,player_id,player_name,resides,total_first,total_forth,total_played,total_points1,total_points2,total_second,total_third
"September 6, 1998 (24 years old)","6'0""","Ft. Lauderdale, FL",United States  ,16670,Brook Bauer,"Ft. Lauderdale, FL",0,0,1,150.0,0,0,0
"September 30, 1983 (39 years old)","6'3""","Fujisawa City, Kanagawa-ken",Japan  ,14279,Yuya Ageba,"Fujisawa City, Kanagawa-ken",0,0,19,925.0,0,1,0
"November 5, 1991 (31 years old)","6'9""",Rapla,Estonia  ,16549,Mart Tiisaar,Tallinn,1,2,55,"7,459.0", ,2,1
"November 8, 1991 (31 years old)","6'6""",Perth,Australia  ,10757,Cole Durant,Adelaide,0,1,39,"3,867.0", ,1,1
"December 29, 1992 (30 years old)","6'1""",Belp,Switzerland  ,11641,Mirco Gerson,Bern,1,1,85,"10,341.0", ,2,3
"April 23, 1996 (27 years old)","6'2""",Odense,Denmark  ,15557,Martin Trans Hansen,Odense,0,0,16,"$3,467.14","1,190.0",1,0
"June 25, 1993 (29 years old)","6'11""","Vancouver, BC",Canada  ,19884,Alexander William Russell,"Surrey, BC",0,0,14,$950,"1,420.0",1,0
"October 2, 1991 (31 years old)","6'3""",Zürich,Switzerland  ,10716,Joana Heidrich Mäder,Kloten,4,4,107,"17,730.0", ,6,3
"August 29, 1994 (28 years old)",,,Philippines  ,19337,Floremel Rodriguez,,0,0,2,230.0,0,1,0
"April 23, 1996 (27 years old)","5'5""",Kanagawa,Japan  ,19954,Harumi Sakai,Kanagawa,0,0,8,980.0,0,1,0
"January 31, 1988 (35 years old)","6'2""",Amsterdam,Netherlands  ,8638,Sven Vismans,Amstelveen/Aalsmeer,0,0,24,717.0, ,0,1
"October 27, 1994 (28 years old)","5'11""",Vredenheim,Netherlands  ,19373,Iris Reinders,Breda,1,0,2,120.0,0,0,0
"August 22, 1997 (25 years old)","6'5""",Moscow,Russia  ,16748,Aleksandr Kramarenko,Moscow,1,1,16,"1,240.0", ,1,2
"June 24, 1986 (36 years old)","5'10""",Poole,England  ,8627,Victoria Palmer,Bath,0,0,31,"1,475.0", ,0,1
"September 7, 1994 (28 years old)","6'0""",Klaipeda,Lithuania  ,11840,Ieva Dumbauskaite,Vilnius,1,1,65,"4,899.0", ,1,3
"July 3, 1996 (26 years old)","5'9""",,Italy  ,14804,Federica Frasca,Rome,0,0,2,$0,126.0,0,0
"September 5, 1998 (24 years old)","6'7""",Tuitjenhorn (Noord-Holland),Netherlands  ,15413,Mees Blom,Den Haag (Zuid-Holland),0,0,11,546.0,1,0,0
"February 9, 1992 (31 years old)","6'3""",Shanxi,China  ,11655,Chunxia Chen,Beijing,0,0,17,850.0,0,0,1
"November 24, 1990 (32 years old)","6'6""",Tauranga,New Zealand  ,9436,Sam O'Dea,Tauranga,2,1,45,"2,703.0", ,2,1
"October 12, 1994 (28 years old)","6'4""",Novi Sad,Serbia  ,15915,Lazar Kolaric,Novi Sad,2,5,42,"3,815.0", ,3,1
"January 28, 1992 (31 years old)","6'4""",Trento,Italy  ,10736,Tiziano Andreatta,Milan,2,0,33,"2,639.0", ,0,2
"February 11, 1992 (31 years old)","6'1""",Bern,Switzerland  ,10813,Anouk Vergé-Dépré,Bern,3,6,107,"17,486.0", ,5,4
"January 31, 1979 (44 years old)","5'8""",Itapema,Brazil  ,16155,Josemari Alves,Rio de Janeiro,2,1,38,"4,118.0", ,0,1
"August 13, 1996 (26 years old)","5'11""",Oinawa,Japan  ,19083,Nobuaki Taira,Shizuoka,0,0,12,510.0,0,1,0
"June 14, 1989 (34 years old)","6'9""",Odessa,Ukraine  ,14271,Eduard Reznik,,0,1,7,"1,650.0",0,1,0
"November 7, 1998 (24 years old)","6'3""",Moscow,Russia  ,18605,Anastasia Petrunina,Moscow,0,0,1,80.0,0,0,0
"December 18, 1996 (26 years old)","6'1""",Kaunas,Lithuania  ,13829,Urte Andriukaityte,Vilnius,0,0,27,"1,715.0", ,1,0
"May 7, 1998 (25 years old)","5'7""",Fernando de la Mora,Paraguay  ,14290,Michelle Sharon Valiente Amarilla,Asunción,0,0,27,"1,941.0", ,0,1
"February 14, 1988 (35 years old)","6'2""",Sawiq city-North Batinah Governate,Oman  ,18133,Mazin Alhashmi,SUWAIQ,0,3,13,"1,310.0",0,1,0
"September 25, 1990 (32 years old)","6'1""",Belgrade,Serbia  ,18331,Marko Plavsic,Beograd,0,0,2,105.0,1,0,0
"May 21, 2000 (23 years old)","6'0""","Lörrach, Germany",Switzerland  ,18577,Jonathan Jordan,Riehen,0,0,11,920.0,0,0,0
"October 26, 1987 (35 years old)","6'0""",Vitória ,Brazil  ,9923,"Liliane ""Lili"" Simões Maestrini","Winter Garden, FL",4,1,89,"10,459.0", ,1,4
"August 2, 1997 (25 years old)","5'9""",Czestochowa,Poland  ,16352,Kinga Legieta,Czestochowa,0,0,6,$0,120.0,0,0
"January 9, 2001 (22 years old)","6'8""",,Italy  ,20220,Gianluca Dal Corso,,0,0,10,"1,090.0",0,1,0
"October 15, 1996 (26 years old)","6'1""",Cieszyn,Poland  ,13891,Mateusz Lysikowski,Warsaw,0,1,2,130.0,0,0,0
"August 6, 1988 (34 years old)","6'8""",Ortona,Italy  ,9059,Paolo Nicolai,Ortona,6,4,137,"25,442.0", ,11,12
"November 26, 1997 (25 years old)","6'1""",Beijing,China  ,14923,Meimei Lin,Haikou ,1,3,47,"5,826.0", ,2,2
"March 14, 1998 (25 years old)","6'8""",Kiel,Germany  ,15723,Milan Sievers,Hamburg,1,0,10,494.0,0,0,0
"December 11, 1991 (31 years old)","6'10""",Voorhout,Netherlands  ,9433,Mart van Werkhoven,Voorhout,0,0,7,710.0,0,0,0
"December 4, 1994 (28 years old)","6'2""","Rio Rancho, NM",United States  ,17741,Cassie House,"Redondo Beach, CA",2,0,3,240.0,0,0,0
"December 8, 1994 (28 years old)","5'10""",Frauenfeld,Switzerland  ,16745,Elena Steinemann,Bern,0,0,15,"1,052.0",0,0,0
"October 23, 1989 (33 years old)","6'4""",Beijing,China  ,13018,Zhuoxin Li,Jinan,0,0,51,"3,244.0", ,1,0
"June 10, 1997 (26 years old)","6'0""",Frauental,Austria  ,15752,Dorina Klinger,Frauental,1,3,39,"3,800.0", ,1,1
"November 26, 2001 (21 years old)","5'11""",Immenstadt,Switzerland  ,19554,Menia Bentele,Riehen,0,0,9,"1,050.0",0,0,1
"December 27, 1996 (26 years old)","6'3""",Bergambacht,Netherlands  ,15089,Jasper Bouter,The Hague,0,3,33,"$33,578.23","3,910.0",1,1
"October 29, 1995 (27 years old)","6'7""","Grand Rapids, MI",United States  ,16472,Logan Webber,"Grand Rapids, MI",0,1,11,"1,525.0", ,1,0
"April 28, 1995 (28 years old)","6'3""",Starnberg,Germany  ,13767,Clemens Wickler,Berlin,1,1,58,"10,801.0", ,3,5
"January 26, 1980 (43 years old)","6'9""","Baden, Switzerland",United States  ,5214,Phil Dalhausser,"Orlando, FL",38,7,131,"$1,343,400.00","33,954.0",16,14
"October 15, 1994 (28 years old)","5'10""",Kremenchug,Ukraine  ,11602,Iryna Makhno,Kyiv,2,0,43,"3,183.0", ,3,0
"May 25, 1988 (35 years old)","6'3""",Herk-de-Stad,Belgium  ,11600,Dries Koekelkoren,Vilvoorde,1,1,58,"6,980.0", ,0,1
"August 1, 1995 (27 years old)","6'2""",Auckland,New Zealand  ,17326,Alani Nicklin,Auckland,0,0,8,485.0,1,0,1
"June 13, 1996 (27 years old)","4'11""",Carabobo,Venezuela  ,14408,Rolando Peter Hernandez,Valencia,1,0,4,490.0,0,0,0
"August 4, 1998 (24 years old)",,,Oman  ,17508,Hood Al Jalaboubi,,0,0,9,895.0,2,1,0
"January 14, 1994 (29 years old)","6'5""",Kandel,Germany  ,16355,Yannick Harms,Hamburg,1,1,38,"4,150.0", ,1,0
"March 23, 1992 (31 years old)","5'11""",Bangkok,Thailand  ,17546,Nuttanon Inkiew,Chiang Rai,2,0,25,"2,376.0",0,0,1
"March 27, 1986 (37 years old)","5'8""","Fort Myers, FL",United States  ,8047,Brooke Youngquist Sweat,"Estero, FL",1,2,83,"14,769.0", ,3,6
"July 13, 1991 (31 years old)","6'6""",Gothenburg,Sweden  ,19197,Martin Johansson,Gothenburg,0,0,2,140.0,0,1,0
"November 10, 1988 (34 years old)","6'1""","Fort Worth, TX",United States  ,13811,Irene Hester Pollock,"Hermosa Beach, CA",1,1,37,"2,959.0", ,0,1
"August 2, 1989 (33 years old)","5'11""","Los Alamitos, CA",United States  ,7546,Geena Urango,"Los Alamitos, CA",0,0,5,"$5,250.00",520.0,1,0
"March 5, 1987 (36 years old)","6'7""",Pescara,Italy  ,11220,Francesco Vanni,Pescara,0,0,4,180.0,0,0,0
"April 11, 1997 (26 years old)","6'0""",Imatra,Finland  ,14008,Niina Ahtiainen,Prague,1,0,48,"7,346.0", ,0,0
"February 23, 1998 (25 years old)","5'11""",Bern,Switzerland  ,16243,Zoé Vergé-Dépré,Bern,1,2,41,"5,835.0", ,3,0
"December 2, 1995 (27 years old)","6'2""",Graz,Austria  ,15826,Maximilian Trummer,Vienna,0,4,35,"2,605.0", ,0,1
"October 3, 1987 (35 years old)","5'11""",Tokyo,Japan  ,17403,Takashi Tsuchiya,"Shibuya-ku, Tokyo",0,3,18,"1,080.0",2,0,1
"October 14, 1995 (27 years old)","5'9""",Cham,Switzerland  ,13151,Nina Betschart Brunner,Bellmund,3,4,78,"14,991.0", ,3,6
"July 21, 1988 (34 years old)","6'4""",Edgia,Poland  ,19116,Piotr Ilewicz,Warsaw,0,1,8,370.0,1,0,1
"December 18, 2001 (21 years old)","6'1""",Varel,Germany  ,18477,Lea Sophie Kunst,Hamburg,0,0,5,840.0,0,0,0
"June 16, 1995 (28 years old)","6'4""",Novi Sad,Serbia  ,13763,Djordje Klasnic,"Los Angeles County, CA",1,4,32,"2,062.0", ,1,0
"December 25, 1987 (35 years old)","5'11""",Kanagawa,Japan  ,17045,Yukako Suzuki,"Shibuya-ku, Tokyo",0,0,28,"1,790.0",1,1,2
"July 28, 1999 (23 years old)",,,Philippines  ,19333,Genesa Jane Eslapor,,0,0,2,220.0,0,1,0
"June 18, 2001 (22 years old)","5'4""",Satun,Thailand  ,19184,Poravid Taovato,Kalasin,1,0,11,"1,165.0",1,1,0
"December 16, 1997 (25 years old)","6'0""",Izmir,Türkiye  ,14669,Merve Nezir,ANKARA,0,0,22,"$4,122.84","1,038.0",0,2
"March 31, 1998 (25 years old)","6'0""",Kuldiga,Latvia  ,16267,Kristaps Smits,Hujani,0,0,9,607.0,1,0,2
"June 9, 1993 (30 years old)","5'10""","Manhattan Beach, CA",United States  ,13300,Jace Pardon,"Manhattan Beach, CA",0,0,10,"$3,250.00",776.0,2,0
"December 24, 1992 (30 years old)","6'1""",Hulst,Netherlands  ,10778,Dirk Boehlé,Den Haag,2,0,35,"2,706.0", ,0,1
"February 18, 2000 (23 years old)","5'6""",Anapa,Russia  ,16130,Maria Voronina,Obninsk,3,0,21,"2,400.0", ,1,0
"January 9, 1991 (32 years old)","6'3""",Santiago de Chile,Chile  ,12583,Esteban Grimalt,Santiago,4,4,96,"14,792.0", ,2,0
"June 1, 1994 (29 years old)","6'7""",Prague,Czech Republic  ,16538,David Schweiner,Prague,3,2,52,"11,725.0", ,8,1
"December 7, 2002 (20 years old)","6'5""",Arles,France  ,20348,Liam Patte,Toulouse,0,0,3,290.0,0,0,0
"October 4, 1993 (29 years old)","6'0""",Graz,Austria  ,11650,Lena Maria Plesiutschnig,Vienna,2,0,88,"10,093.0", ,3,3
"June 21, 1998 (25 years old)","6'6""",Freiburg,Germany  ,15725,Sven Winter,Hamburg,0,2,32,"4,484.0", ,2,2
"June 22, 1995 (27 years old)","6'5""",Raseiniai,Lithuania  ,13422,Arnas Rumsevicius,Vilnius,0,2,45,"3,633.0", ,0,0
"January 24, 1999 (24 years old)","5'11""",Praha,Czech Republic  ,16946,Martina Maixnerova,Praha,1,0,13,874.0,0,0,0
"October 16, 1993 (29 years old)","6'4""",Aschbach,Austria  ,12379,Tobias Winter,Aschbach,0,1,59,"$47,433.04","4,736.0",1,1
"September 28, 1990 (32 years old)","6'8""",Dachau,Germany  ,10963,Armin Dollinger,Geislingen ,1,4,52,"3,290.0", ,0,0
"August 19, 1999 (23 years old)","6'0""",Nuernberg,Germany  ,16916,Sarah Schulz,GERMANY,1,1,23,"3,845.0", ,3,0
"August 18, 1992 (30 years old)","6'7""",Beijing,China  ,14350,Likejiang Ha,Beijing,4,0,61,"5,480.0", ,0,2
"September 6, 1980 (42 years old)","6'7""",Steyr,Austria  ,2106,Clemens Doppler,Vienna,2,4,202,"21,984.0", ,4,2
"October 22, 1996 (26 years old)","6'5""",Saint Maurice,France  ,15475,Arnaud Gauthier-Rat,Charenton-le-Pont,2,0,57,"8,574.0", ,3,1
"January 8, 1991 (32 years old)","6'2""",Arendal,Norway  ,11752,Lars Tveit Retterholt,Oslo,0,1,22,"1,046.0", ,1,0
"July 25, 1998 (24 years old)","6'2""",Korolev,Russia  ,17126,Polina Tsyganova,,0,0,2,90.0,0,0,0
"July 9, 1991 (31 years old)","6'2""","Santa Ana, CA",United States  ,13414,Christopher Austin,"Redondo Beach, CA",0,0,3,125.0, ,1,0
"February 1, 1995 (28 years old)","5'9""",Wrzsenia,Poland  ,13339,Jagoda Gruszczynska,Wrzesnia,1,2,71,"6,543.0", ,0,1
"May 22, 1988 (35 years old)","6'7""","Encinitas, CA",United States  ,13452,Chase Budinger,"Hermosa Beach, CA",0,0,32,"4,830.0", ,3,0
"September 18, 1995 (27 years old)","6'2""","Placentia, CA",United States  ,14478,Kelly Claes Cheng,"Fullerton, CA",7,4,61,"14,634.0", ,3,3
"July 3, 1995 (27 years old)","5'10""",Tokyo,Japan  ,18662,Kana Motomura,Tokyo,0,0,8,"1,010.0",0,1,0
"September 7, 1996 (26 years old)","6'8""",Adelaide,Australia  ,14442,Maximilian Guehrer,Aldgate,0,0,28,"$5,942.24","2,016.0",0,2
"November 19, 2002 (20 years old)","6'0""",Modena,Italy  ,20460,Valentina Gottardi,,1,1,14,"3,210.0",2,0,1
"October 17, 1998 (24 years old)","6'5""",Moscow,Russia  ,15529,Petr Bakhnar,Moscow,0,0,18,975.0,1,3,0
"January 25, 1991 (32 years old)","6'4""",Innsbruck,Austria  ,13635,Michael Murauer,Vienna,0,2,21,830.0, ,0,0
"July 16, 2002 (20 years old)","5'7""",Riga,Latvia  ,17941,Anete Namike,Manupe,0,4,18,"1,300.0", ,0,0
"November 1, 1999 (23 years old)","5'7""",Petrópolis,Brazil  ,16883,Vitoria De Souza Rodrigues,Rio de Janeiro,1,1,20,"4,628.0",2,2,3
"October 20, 1993 (29 years old)","6'3""",Auckland,New Zealand  ,13113,Thomas Hartles,Auckland,0,0,8,485.0,1,0,1
"March 22, 1995 (28 years old)","5'11""",Jesenik,Czech Republic  ,19391,Anna Pospisilova,Brno,0,0,5,590.0,0,0,1
"September 26, 1996 (26 years old)","6'9""",Moscow,Russia  ,14263,Oleg Stoyanovskiy,Moscow,6,4,62,"12,382.0", ,4,5
"July 31, 1995 (27 years old)","5'9""","Aracaju, Sergipe",Brazil  ,14460,Tainá Silva Bigi,"Aracaju, Sergipe",1,2,37,"5,965.0",2,1,2
"September 11, 1988 (34 years old)","6'3""",Korneuburg,Austria  ,10722,Thomas Kunert,Vienna,0,1,79,"4,910.0", ,0,0
"September 4, 1998 (24 years old)",,Bangkok,Thailand  ,21155,Pithak Tipjan,,1,0,8,"1,020.0",0,1,0
"March 24, 1994 (29 years old)","6'8""",La Habana,Cuba  ,14857,Nivaldo Nadhir Díaz Gomez,Liberec ,1,0,17,"$33,950.00","2,510.0",0,2
"September 21, 2001 (21 years old)",,,France  ,20454,Calvin Aye,,0,0,9,"1,590.0",0,0,0
"November 21, 1988 (34 years old)","6'7""",Calgary,Canada  ,7080,Ben Saxton,Calgary,1,1,129,0,"$330,187.50",2,4
"December 10, 1997 (25 years old)",,,France  ,21853,Samuel Cattet,,0,0,1,160.0,0,0,1
"May 12, 1997 (26 years old)","6'0""",,Estonia  ,16448,Heleene Hollas,,1,1,15,"1,115.0",0,1,0
"December 1, 1999 (23 years old)","6'4""",Belem,Brazil  ,16878,Renato Andrew Lima de Carvalho,Joao Pessoa,4,2,23,"5,780.0",2,2,1
"May 11, 1987 (36 years old)","6'1""",Wadowice,Poland  ,8758,Grzegorz Fijalek,Lodz,2,7,128,"23,068.0", ,8,8
"July 22, 1994 (28 years old)","6'9""",Copenhagen,Denmark  ,19768,Nicolai Hovmann Overgaard,Copenhagen,0,0,8,730.0,0,1,0
"January 13, 2000 (23 years old)","6'4""",Dachau,Germany  ,17157,Lukas Pfretzschner,Karlsfeld,0,0,31,"3,475.0", ,1,1
"April 27, 2003 (20 years old)",,,Norway  ,19455,Jo Gladsøy Sunde,,0,0,2,140.0,0,0,0
"July 6, 1992 (30 years old)","6'6""",Kraslava,Latvia  ,11711,Haralds Regza,Riga,0,2,56,"4,770.0", ,1,3
"February 20, 1990 (33 years old)","6'3""",Minsk,Belarus  ,9342,Aliaksandr Dziadkou,Bobruisk Mogilev region,2,0,50,"3,432.0", ,0,1
"February 13, 2001 (22 years old)","6'4""",Dortmund,Germany  ,17168,Svenja Müller,GERMANY,1,1,19,"4,320.0", ,0,3
"July 22, 1991 (31 years old)","5'8""",Prague,Czech Republic  ,10974,Martina Bonnerová Williams,Prague,3,4,86,"6,797.0", ,3,0
"October 30, 2001 (21 years old)","5'8""",Giesen,Germany  ,18514,Anna-Lena Grüne,Giesen,1,0,14,"1,510.0", ,2,1
"June 9, 2002 (21 years old)","5'10""","Temecula, CA",United States  ,18794,Delaynie Maple,"San Diego, CA",1,1,2,170.0,0,0,0
"April 21, 2004 (19 years old)",,Ho��e,Slovenia  ,19501,Rok Bracko,,0,0,2,210.0,0,1,0
"June 22, 1983 (39 years old)","6'0""",Curitiba,Brazil  ,6641,Ágatha Bednarczuk,Rio de Janeiro,12,6,139,"24,947.0", ,13,14
"September 18, 1995 (27 years old)","5'5""",Kanagawa,Japan  ,18396,Asami Shiba,"Hiratsuka-city, Kanagawa",1,0,4,290.0,0,0,1
"September 8, 2002 (20 years old)","6'5""",Rosario,Argentina  ,20605,Tomas Capogrosso,"Santa Fe
",0,0,16,"3,100.0",0,1,0
"May 6, 1991 (32 years old)","6'5""",Rome,Italy  ,9422,Daniele Lupo,"Fiumicino, Fregene (Roma)",4,5,115,"22,417.0", ,9,10
"October 5, 2001 (21 years old)","6'4""",Stockholm,Sweden  ,18278,Jonatan Hellvig,SWEDEN,6,0,32,"6,215.0", ,2,3
"March 27, 1986 (37 years old)","6'4""",Rio de Janeiro,Brazil  ,6767,Pedro Salgado Collett Solberg,Rio de Janeiro,21,14,185,"34,453.0", ,13,14
"May 6, 1983 (40 years old)","5'9""",Rio de Janeiro,Brazil  ,1900,Maria Clara Salgado Solberg Rufino,"Santa Barbara, CA",3,6,163,"20,819.0", ,5,14
"December 3, 1992 (30 years old)","6'2""",Yogyakarta,Indonesia  ,15022,Ade Candra Rachmawan,Yogyakarta,0,1,12,"1,170.0",0,1,1
"March 11, 1999 (24 years old)","6'0""",Horovice,Czech Republic  ,15756,Marie-Sara Stochlova,CZECH REPUBLIC,2,0,31,"$32,283.39","4,984.0",2,0
"September 24, 1997 (25 years old)","5'11""",Lubljana,Slovenia  ,16443,Gasper Plahutnik,Lubljana,0,1,8,385.0,2,0,0
"September 14, 2003 (19 years old)","6'6""","Ashdod
",Israel  ,19910,Kevin Cuzmiciov,"Ashdod
",0,0,4,175.0,0,0,0
"July 6, 1994 (28 years old)","6'0""",Uzwil,Switzerland  ,16359,Laura Caluori,Bern,0,0,35,"3,242.0", ,0,1
"September 7, 1998 (24 years old)","5'11""",,Australia  ,15280,Georgia Johnson,,0,0,10,"1,376.0",0,1,0
"May 8, 1985 (38 years old)","6'3""",Riga,Latvia  ,6769,Martins Plavins,Riga,,,,,,,
"November 3, 2003 (19 years old)",,,Slovenia  ,20341,Maja Marolt,,0,0,2,250.0,1,1,0
"March 12, 1988 (35 years old)","6'8""",Moledet,Israel  ,14289,Sean Faiga,Moledet,0,1,41,"2,064.0", ,0,0
"March 6, 1996 (27 years old)","6'3""",Graz,Austria  ,14711,Johannes Kratz,Graz,0,0,2,84.0,0,0,0
"February 13, 1996 (27 years old)","6'4""",Paranavaí,Brazil  ,15323,Arthur Diego Mariano Lanci,Maringá,3,2,32,"4,955.0", ,2,1
"June 20, 1989 (34 years old)","6'5""","Honolulu, HI",United States  ,13699,Tri Bourne,"Honolulu, HI",2,3,74,"14,425.0", ,1,4
"May 31, 2000 (23 years old)","6'4""",Porto,Portugal  ,16860,Joao Pedrosa,Espinho,0,1,15,"2,210.0",0,0,0
"February 29, 2000 (23 years old)","6'1""",Tunuyán - Mendoza,Argentina  ,17499,Bautista Amieva,Mendoza,0,1,7,340.0,0,0,1
"September 14, 1999 (23 years old)","6'6""",,Australia  ,20001,Izac Carracher,,1,0,15,"3,320.0",0,0,0
"June 14, 1987 (36 years old)","6'5""","Barrie, Ontario",Canada  ,8789,Sam Pedlow,Toronto,0,1,74,"$117,462.50","9,787.0",0,0
"October 21, 1986 (36 years old)","6'6""",Moscow,Russia  ,7513,Yury Bogatov,Moscow,0,1,72,"3,963.0", ,1,0
"December 22, 1993 (29 years old)","5'11""",Treviso,New Zealand  ,18330,Francesca Kirwan,Auckland,0,0,6,280.0,0,0,0
"August 16, 1996 (26 years old)","5'10""","Phoenix, AZ",United States  ,14959,Sarah Sponcil,"Phoenix, AZ",2,1,46,"11,298.0", ,4,4
"July 26, 1995 (27 years old)","6'0""",Treviso,Italy  ,13903,Margherita Bianchin,Salgareda,4,0,25,"$18,030.62","3,205.0",1,1
"December 10, 1988 (34 years old)","5'8""",Tokyo,Japan  ,15016,Yui Nagata,"Shibuya-ku, Tokyo",0,0,29,"2,160.0",1,1,1
"March 16, 1991 (32 years old)","5'8""","Leeds, Yorkshire",England  ,9517,Jessica Grimson,Bournemouth,0,0,30,"1,599.0", ,0,1
"August 8, 1994 (28 years old)","6'6""",Den Haag,Netherlands  ,13566,Steven van de Velde,Den Haag,0,1,53,"8,976.0", ,0,5
"March 27, 1990 (33 years old)","5'8""",Umea,Sweden  ,18167,Sofia Wahlén,DANDERYD,0,0,4,200.0,0,0,0
"May 19, 1996 (27 years old)","6'1""",Sidoarjo,Indonesia  ,14509,Mohammad Ashfiya,Sidoarjo,0,1,14,"1,226.0",0,1,1
"May 17, 1995 (28 years old)","6'5""",Brisbane,Australia  ,15354,Tim Dickson,Adelaide,0,1,15,776.0,0,0,0
"May 28, 1989 (34 years old)","6'4""",Dabrowa Gornicza,Poland  ,7844,Michal Krzysztof Kadziola,Lodz,4,2,97,"8,882.0", ,0,1
"September 17, 1987 (35 years old)","6'4""",La Línea de la Concepción,Spain  ,7783,Adrián Gavira Collado,Tenerife,4,7,165,"30,487.0", ,11,10
"March 25, 1996 (27 years old)","5'8""",Tokyo,Japan  ,17046,Kaho Sakaguchi,"Shibuya-ku, Tokyo",0,0,24,"1,625.0",0,2,2
"August 9, 1987 (35 years old)","5'11""",Almaty,Kazakhstan  ,9490,Irina Tsimbalova,Almaty,0,0,71,"4,740.0", ,1,0
"September 18, 1992 (30 years old)","5'11""",Suny,Ukraine  ,9397,Maryna Samoday Hladun,Suny,0,0,25,"1,695.0", ,2,2
"June 1, 1994 (29 years old)","5'7""",Russia,Israel  ,17425,Sofia Starikov,Isr-Kata,1,2,44,"2,475.0", ,0,0
"July 10, 1996 (26 years old)","6'4""",Bangkok,Thailand  ,15652,Banlue Nakprakhong,Bangkok,1,1,21,"1,610.0",1,0,0
"October 30, 1991 (31 years old)","5'7""",,Philippines  ,21988,Jovelyn Gonzaga,,1,0,1,200.0, ,0,0
"January 8, 1993 (30 years old)","6'0""",Hamilton,New Zealand  ,10810,Kelsie Wills,Tauranga,0,2,8,400.0,0,0,1
"January 14, 1997 (26 years old)","6'0""",Wulu Mu Qi,China  ,14924,Xinyi Xia,BEIJING,5,2,87,"15,015.0", ,8,4
"March 8, 1994 (29 years old)","6'3""",Antalya,Türkiye  ,15101,Safa Urlu,Ankara,0,1,53,"4,355.0", ,1,1
"July 24, 2001 (21 years old)","6'1""",Zdiby,Czech Republic  ,18816,Tadeas Trousil,,0,0,6,750.0,1,0,0
"June 7, 1997 (26 years old)","5'8""",,Estonia  ,16449,Liisa Soomets,,1,1,15,"1,115.0",0,1,0
"September 2, 1985 (37 years old)",,Koper,Slovenia  ,17618,Jelena Pesic,,0,0,2,115.0, ,0,1
"March 15, 1991 (32 years old)","6'8""",Aalborg,Denmark  ,15013,Mads Rosager,Odense,0,0,11,660.0,0,0,1
"June 20, 1990 (33 years old)","6'4""",Holguin,Cuba  ,9402,Sergio Reynaldo Gonzalez Bayard,LA Habana,1,0,21,"$35,650.00","2,690.0",0,2
"December 11, 1997 (25 years old)","5'11""",Croix,France  ,15613,Lézana Placette,Grenoble,1,1,48,"$36,797.60","6,145.0",0,1
"August 8, 1997 (25 years old)",,,Canada  ,19780,Alina Dormann,,0,0,6,580.0,0,0,1
"December 5, 1991 (31 years old)","6'1""",Vilnius,Lithuania  ,17171,Karole Virbickaite,Vilnius,0,0,2,80.0,0,0,0
"December 3, 1995 (27 years old)","5'10""","Auckland, New Zealand ",Australia  ,13714,Jessyka Ngauamo,Gold Coast Queensland,1,0,34,"2,808.0", ,1,2
"November 27, 2001 (21 years old)","6'2""",Gijon,Spain  ,17937,Daniela Álvarez Mendoza,Asturias,0,0,16,"$11,262.28","2,290.0",1,3
"March 29, 1999 (24 years old)","5'10""",Chiang Rai,Thailand  ,15944,Charanrutwadee Patcharamainaruebhorn,Bangkok,0,0,27,"2,065.0",3,0,1
"July 28, 1999 (23 years old)","5'9""","Bergamo, Italy",Italy  ,17754,Carolina Ferraris,"Rio de Janeiro, Brazil",1,0,2,160.0,0,0,0
"November 14, 2001 (21 years old)","6'4""","Puck
",Poland  ,18904,Jakub Nowak,"Puck
",0,0,5,265.0,0,1,0
"May 16, 1993 (30 years old)","6'1""","Sarasota, FL",United States  ,16016,Bree Scarbrough,"Sarasota, FL",1,1,4,410.0, ,0,0
"December 27, 1995 (27 years old)","6'3""",Ekaterinburg,Russia  ,14524,Ilya Leshukov,St. Petersburg,2,0,36,"6,846.0", ,2,3
"January 22, 1996 (27 years old)","6'1""",Frankenberg (Eder),Germany  ,13770,Sarah Schneider,Hamburg,2,1,25,"2,674.0", ,2,3
"April 27, 1988 (35 years old)","6'8""",Ústí nad Labem,Czech Republic  ,9096,Filip Habr,Usti nad Labem,0,0,12,374.0,0,0,0
"August 7, 2000 (22 years old)","6'2""",Tula,Russia  ,17711,Alexey Gusev,Moscow,0,0,6,280.0,0,0,2
"December 9, 1992 (30 years old)","5'10""",Tampere,Finland  ,7914,Taru Lahti-Liukkonen,Vantaa,1,2,80,"11,968.0", ,2,1
"October 15, 1987 (35 years old)","6'6""",Sinop,Türkiye  ,11420,Murat Giginoglu,Ankara,0,2,71,"6,462.0", ,1,2
"July 22, 1983 (39 years old)","5'10""",Santos,Brazil  ,5835,Juliana Felisberta da Silva,Fortaleza,49,8,158,"37,046.0", ,26,20
"September 26, 1994 (28 years old)","6'3""",Prague,Czech Republic  ,13393,Ondrej Perusic,Praha,3,2,57,"11,809.0", ,8,1
"June 22, 1985 (37 years old)","5'9""",Tokyo,Japan  ,9082,Ayumi Kusano Shiratori,Shibuya-ku,1,1,57,"3,609.0", ,1,2
"September 4, 1986 (36 years old)","5'11""",Vöcklabruck,Austria  ,13030,Valerie Teufl,Leonding,0,2,40,"2,032.0", ,1,0
